iter	RMSE
0	0.07344751201
1	0.07034794241
2	0.06729784531
3	0.06453287176
4	0.06190732604
5	0.05936579596
6	0.05697807884
7	0.0546605154488	0.0524753743199	0.05043797856110	0.04853266505111	0.04666943178112	0.04490180931313	0.04319262551414	0.04160883701515	0.04003964071616	0.03857668261717	0.03713448651818	0.03583004221919	0.03456643272020	0.03334672652121	0.03223035072222	0.03110419712323	0.03006428782424	0.0290858393225	0.02815346549226	0.02731697268227	0.02653457618228	0.0257489596
29	0.02498128058
30	0.02431698498331	0.02368059249332	0.02309346724333	0.02255068202334	0.02198507706
35	0.02145162749
36	0.02093407067337	0.0204690298
38	0.02001660972
39	0.01962638533
40	0.01922961867
41	0.01887548644
42	0.0186767696
443	0.01822563749444	0.01791977905445	0.01760693149446	0.01736493808447	0.01709829872448	0.01683869086449	0.01664034948550	0.0164233695
51	0.0162398927
52	0.01606758706
53	0.0159039274754	0.01587223445
55	0.01573104974
56	0.01558020893
57	0.01544555216
58	0.01531736826
59	0.01519829434
60	0.01507534576
61	0.01496218278
662	0.0147645127263	0.01476219643
64	0.01466011336
65	0.01456860552
66	0.01447535344667	0.01438793786868	0.01430363846969	0.01422488177070	0.014138849271	0.01403633708
772	0.01400483748773	0.0139322472174	0.01381339348
75	0.01375469826
776	0.0137451781177	0.01364592837
778	0.01358100207979	0.01353511048080	0.01349856098181	0.01344167498282	0.013391314783	0.01332128763
84	0.01326715952
85	0.01322758444
86	0.01318746993
87	0.01314044593
88	0.01309698369
89	0.01305677909
9090	0.013022777591	0.01297473554
92	0.01294715045
93	0.01291419175
94	0.01287787432
95	0.012832313
96	0.01278960471
9797	0.012728754298	0.01272163982
99	0.01268547994
100	0.01264390625
101	0.01262286988
102	0.01258286802
1103	0.012566799231104	0.01253989582105	0.01251440813
106	0.01249297111
107	0.01245213108
108	0.01242086765
109	0.01239239583
110	0.01236902432
111	0.01232724846
112	0.01229201338
113	0.01226754062
114	0.01223109755
115	0.01220963365
116	0.01216515084
117	0.01213725828
118	0.01211444531
119	0.01210489784
120	0.01207769896
121	0.01204006087
122	0.012023838761123	0.011996937311124	0.011971414951125	0.011952918541126	0.011928506821127	0.011915158121128	0.011897054581129	0.011880374081130	0.01185309985
131	0.01183399012
132	0.011813077981133	0.011790545531134	0.0117724319
135	0.01171725216
136	0.01170488021
137	0.01166437945
138	0.01163992642
139	0.01162521274
140	0.01160941986
141	0.01159524166
142	0.01157165596
143	0.01155505766
144	0.01153213423
145	0.01150321681
146	0.01148459459
147	0.01146994601
148	0.01145813503
149	0.01144698162
150	0.01141665814
151	0.01140335816
152	0.01136560284
153	0.01134830425
154	0.0113345535
155	0.0113249255
156	0.01131118602
157	0.01129504175
158	0.01127593213
159	0.01126615248
160	0.01125359281
161	0.01124262229
162	0.01123656156
163	0.01121605272
164	0.0111969449
165	0.01117138647
166	0.01115552079
167	0.01114239013
168	0.01112701511
169	0.01111938953
170	0.01109377163
171	0.01108037892
172	0.01107056108
173	0.01106179722
174	0.01104087617
175	0.01102674423
176	0.0110041666
177	0.01098306325
178	0.01097573306
179	0.01096710842
180	0.01094788572
181	0.01091979579
182	0.01090647932
183	0.01089248735
184	0.01088210178
185	0.0108729649
186	0.01085275187	187	0.01082797188	188	0.01079131189	189	0.01076571804
190	0.01075396803
191	0.01073605192	192	0.01072100695
193	0.01070292194	194	0.01067339195	195	0.01065807196	196	0.01065106619
197	0.01064063127
198	0.01062216192
199	0.01060739200	200	0.0105995892
201	0.01057722399
202	0.01056186587
203	0.010547448
